"Iteration"	"speciation"	"extinction"
2	0.198908115459821	0.103767616485514
3	0.221401676884075	0.115502196795973
4	0.224308181221119	0.117018479963518
5	0.258757027683527	0.135932635837804
6	0.247201618278728	0.129862241257061
7	0.197541219935112	0.0802018429134441
8	0.197541219935112	0.0802018429134441
9	0.231192609237787	0.11385323221612
10	0.211298067140541	0.104055955699804
11	0.211298067140541	0.104055955699804
12	0.194399677366208	0.0871575659254708
13	0.194399677366208	0.0871575659254708
14	0.188793359692205	0.0846440175035226
15	0.232503799472684	0.104241249291216
16	0.207263365251196	0.079000815069728
17	0.173754301308036	0.0662284500136803
18	0.199142874993485	0.0759055968272403
19	0.199142874993485	0.0759055968272403
20	0.199142874993485	0.0759055968272403
21	0.212547175690463	0.0810148001793019
22	0.172756273029011	0.0658480400584041
23	0.199682305890895	0.0761112071169192
24	0.181133175930306	0.0690409929285854
25	0.186450246944044	0.0710676556885952
26	0.193093512811552	0.0735998128675639
27	0.207053855032966	0.0962823319622307
28	0.207053855032966	0.0962823319622307
29	0.207053855032966	0.0962823319622307
30	0.215231070690325	0.100084827657484
31	0.210149795066173	0.0977219783091432
32	0.194651457028911	0.0822236402718819
33	0.225313743492778	0.102688549381791
34	0.203192365245158	0.0926065534619688
35	0.203192365245158	0.0926065534619688
36	0.203192365245158	0.0926065534619688
37	0.203192365245158	0.0926065534619688
38	0.242361291379011	0.131775479595822
39	0.260513384537278	0.141645045680358
40	0.247820996146913	0.128952657289993
41	0.253697944391554	0.139418917434749
42	0.253697944391554	0.139418917434749
43	0.209753505139988	0.11526938732159
44	0.261095460069475	0.143484199201205
45	0.22296880445799	0.122531814019255
46	0.22296880445799	0.122531814019255
47	0.211732780228158	0.116357091799291
48	0.207940710912155	0.11427317188365
49	0.239022616800492	0.13135413673401
50	0.208314818347776	0.102501247977596
51	0.208314818347776	0.102501247977596
52	0.256363316185151	0.14185243880084
53	0.257886392222605	0.142695196078312
54	0.192260669885982	0.0770694737416891
55	0.185939400305306	0.0745355341676154
56	0.185939400305306	0.0745355341676154
57	0.185939400305306	0.0745355341676154
58	0.185939400305306	0.0745355341676154
59	0.185939400305306	0.0745355341676154
60	0.194303008660992	0.0778881641929689
61	0.187325020252279	0.0727741425030512
62	0.203879295275678	0.0792053344920609
63	0.208480520862135	0.0809928706474903
64	0.182140001025854	0.0546523508112098
65	0.178893848920115	0.0536783207098033
66	0.196730008090711	0.0715144798803991
67	0.196730008090711	0.0715144798803991
68	0.196730008090711	0.0715144798803991
69	0.196730008090711	0.0715144798803991
70	0.196730008090711	0.0715144798803991
71	0.196730008090711	0.0715144798803991
72	0.181094281858859	0.0658306452693233
73	0.19826844337931	0.0666901685235364
74	0.202074261106958	0.0679703047938413
75	0.210113802721054	0.0760098464079371
76	0.210113802721054	0.0760098464079371
77	0.174459322429207	0.0631116382196058
78	0.185710626395146	0.0563639389606007
79	0.158664364955017	0.0293176775204722
80	0.157068366271323	0.0277216788367784
81	0.154252475424828	0.0249057879902826
82	0.154252475424828	0.0249057879902826
83	0.176114986954093	0.0401195430990366
84	0.177645604965779	0.0385177924345954
85	0.177645604965779	0.0385177924345954
86	0.196198297177336	0.0570704846461529
87	0.202609988532641	0.0722031674884946
88	0.202609988532641	0.0722031674884946
89	0.214893418306389	0.084486597262243
90	0.190088491876741	0.0747343961669387
91	0.191416120594544	0.0752563611190478
92	0.190763002540996	0.0749995839576545
93	0.20643387982991	0.0906704612465682
94	0.211164025577879	0.0971282322816264
95	0.208263088553567	0.0942272952573143
96	0.203020144208738	0.0918551588013105
97	0.209581118105965	0.0948236292531954
98	0.191257791413045	0.0691831295949571
99	0.186309228870589	0.0642345670525017
100	0.198785169497499	0.0767105076794114
101	0.190314973015508	0.0682403111974202
102	0.183398721315853	0.0657603845745911
103	0.183398721315853	0.0657603845745911
104	0.198509732753043	0.0711786662086779
105	0.198509732753043	0.0711786662086779
106	0.198509732753043	0.0711786662086779
107	0.198509732753043	0.0711786662086779
108	0.177685889985305	0.0546694840648529
109	0.178520421957882	0.0549262485855483
110	0.172082010777036	0.0529453112275885
111	0.207187019311488	0.0637462403549912
112	0.193098467696369	0.0432974146127842
113	0.1849657182828	0.0414738526368555
114	0.190127849725896	0.0426313291722409
115	0.190127849725896	0.0426313291722409
116	0.189221239209996	0.0424280448486129
117	0.198307475216318	0.0549665624999217
118	0.219100324868681	0.075759412152285
119	0.21378001506145	0.0884241070725907
120	0.202109222115232	0.0835968109158301
121	0.202109222115232	0.0835968109158301
122	0.202109222115232	0.0835968109158301
123	0.199183494698596	0.0846191001203164
124	0.225348762167084	0.112997497294564
125	0.186144349125436	0.0809511830751476
126	0.204432969985242	0.0869626197042591
127	0.204432969985242	0.0869626197042591
128	0.204432969985242	0.0869626197042591
129	0.204432969985242	0.0869626197042591
130	0.204432969985242	0.0869626197042591
131	0.204432969985242	0.0869626197042591
132	0.209437681303061	0.0890915463988749
133	0.19688440716371	0.0837515779725368
134	0.19688440716371	0.0837515779725368
135	0.194461365531773	0.0827208535840932
136	0.194461365531773	0.0827208535840932
137	0.237011598202249	0.100821063654501
138	0.173627635604065	0.0374371010563177
139	0.173627691019344	0.0374371564715963
140	0.18267390262272	0.0365719681689244
141	0.163843824974302	0.0257357532173953
142	0.172502918718081	0.0258323837669279
143	0.172502918718081	0.0258323837669279
144	0.175670834610273	0.0263067804883086
145	0.185154833524661	0.020991723301185
146	0.144902532600427	0.020534867987029
147	0.146772090143954	0.0224044255305557
148	0.152603579853858	0.0282359152404596
149	0.171646534026089	0.0426991559293956
150	0.204041113215734	0.0750937351190401
151	0.204041113215734	0.0750937351190401
152	0.198504757379783	0.0730561769420757
153	0.204404114589607	0.075227331376127
154	0.24426002424328	0.120778322763687
155	0.24426002424328	0.120778322763687
156	0.213749817326159	0.0902681158465653
157	0.213749817326159	0.0902681158465653
158	0.189898712230733	0.0801956192018676
159	0.179757121317331	0.0700540282884653
160	0.198321545030188	0.0886184520013222
161	0.224365162017339	0.10025584128026
162	0.21364020107196	0.0954634752435319
163	0.21364020107196	0.0954634752435319
164	0.18505717886781	0.0771442304116484
165	0.18505717886781	0.0771442304116484
166	0.18505717886781	0.0771442304116484
167	0.18505717886781	0.0771442304116484
168	0.179818163393692	0.0719052149375303
169	0.199735256322829	0.0918223078666682
170	0.206888589592018	0.091703349105943
171	0.195430667850274	0.0802454273641987
172	0.171175161356087	0.0427535882546844
173	0.170308432328943	0.0418868592275398
174	0.201493590252752	0.0730720171513498
175	0.169057047302068	0.0613088458273897
176	0.181517203712193	0.0658275442225448
177	0.195754057640383	0.0700780985584687
178	0.235639405127175	0.111354833736307
179	0.234698724112494	0.110910301218785
180	0.173614708696389	0.0625226735387496
181	0.181920731751913	0.0655138646181527
182	0.181920731751913	0.0655138646181527
183	0.20277800317271	0.076064032461738
184	0.194305495773762	0.0728859112269754
185	0.194305495773762	0.0728859112269754
186	0.194305495773762	0.0728859112269754
187	0.194305495773762	0.0728859112269754
188	0.20040658799731	0.0838069120084017
189	0.206322165794959	0.0862807144563189
190	0.20449691180856	0.0855174216835624
191	0.213710982702645	0.0932262176996024
192	0.213710982702645	0.0932262176996024
193	0.213705414822209	0.0847872795382199
194	0.205959645606323	0.0817141580626024
195	0.194872500429824	0.0706270128861042
196	0.194872500429824	0.0706270128861042
197	0.19156066718046	0.0694267158248792
