Iteration	posterior	NumSpeciation	numExtinction	numMassExtinctions 
28700	-733.981592190349	3	4	1
28800	-733.416463508501	4	3	2
28900	-732.294883027119	4	2	0
29000	-742.279775539575	5	4	0
29100	-727.509475064048	2	1	1
29200	-743.266833085275	6	4	0
29300	-730.437465061841	4	2	0
29400	-734.944206341259	2	4	2
29500	-741.859610518116	1	6	3
29600	-737.847126352645	5	2	1
29700	-729.145892275039	3	1	1
29800	-736.092047114879	1	6	1
29900	-737.043621339495	4	4	0
30000	-729.53438860854	1	2	3
30100	-725.946355600354	1	2	0
30200	-737.605726983587	6	2	0
30300	-732.457332583502	4	1	0
30400	-744.256613639828	6	3	0
30500	-727.597377288896	2	2	0
30600	-732.552844449787	3	2	0
30700	-728.274711397644	3	2	0
30800	-725.679924323705	1	1	1
30900	-732.587386782717	4	3	1
31000	-726.079730072896	1	3	0
31100	-730.30805880521	1	4	1
31200	-728.88232911939	2	2	0
31300	-742.124094943499	3	5	0
31400	-730.209801443937	2	3	1
31500	-733.09596441158	3	4	1
31600	-730.466266325722	2	3	0
31700	-726.949549426849	2	2	0
31800	-734.010195094189	3	3	0
31900	-739.103796888249	4	4	1
32000	-725.332294618743	3	1	0
32100	-739.593464609384	6	3	1
32200	-725.804855026663	2	1	1
32300	-742.745489471973	6	4	2
32400	-727.558629092077	3	1	3
32500	-726.540064038718	3	1	3
32600	-729.258122129262	2	3	0
32700	-724.668812003984	2	2	0
32800	-733.250569825735	4	3	2
32900	-729.23204193045	3	3	2
33000	-733.115625683214	2	4	1
33100	-727.234888632194	1	2	2
33200	-741.45960918148	2	7	2
33300	-728.606062574176	1	2	3
33400	-742.478236292839	4	4	1
33500	-723.78028786538	1	1	0
33600	-732.332970511282	2	3	0
33700	-737.714283892408	6	3	2
33800	-737.74784169486	3	4	0
33900	-736.897870217524	3	3	0
34000	-728.98723454814	2	3	1
34100	-735.022295152616	4	2	1
34200	-723.065845929272	2	1	0
34300	-741.222291808562	7	3	0
34400	-727.967396405127	2	2	1
34500	-745.133882233537	2	6	0
34600	-727.030729223791	3	1	1
34700	-752.567495614728	4	6	1
34800	-734.737003191861	2	3	2
34900	-740.404557177388	5	3	0
35000	-729.109504369281	1	3	1
35100	-734.238998181192	2	3	2
35200	-727.230828238008	1	3	0
35300	-724.540523685782	2	2	1
35400	-736.007104363387	4	4	1
35500	-730.735916751064	1	3	0
35600	-733.251983399248	5	3	0
35700	-742.242730040594	3	5	1
35800	-730.807737781856	1	3	1
35900	-726.798472310165	2	3	1
36000	-736.810366900775	2	5	1
36100	-729.337630007341	4	2	0
36200	-726.025636667884	2	2	1
36300	-736.537887745793	7	1	2
36400	-741.112791199988	3	4	0
36500	-724.235345380304	2	1	0
36600	-732.355897333303	2	3	1
36700	-726.221408394506	4	1	1
36800	-731.118848254642	3	3	0
36900	-729.907762118845	5	2	0
37000	-740.827548077861	5	3	1
37100	-734.064246814477	3	4	0
37200	-730.517192229619	5	1	0
37300	-730.65235220265	2	4	1
37400	-739.955842044359	3	5	1
37500	-725.87886346739	2	1	0
37600	-734.576289617013	5	3	0
37700	-729.605491982503	2	3	0
37800	-733.593833971242	3	3	0
37900	-742.971607248941	2	7	1
38000	-730.524997954242	2	2	3
38100	-731.53734823646	1	4	1
38200	-750.038519707292	7	4	1
38300	-730.138043487787	3	2	1
38400	-739.464080983186	5	4	0
38500	-724.008801672887	3	1	1
38600	-730.374691219564	2	4	0
38700	-733.647230573925	4	3	0
38800	-738.49713362705	3	4	1
38900	-727.230573488275	2	2	0
39000	-730.301014836473	1	3	0
39100	-734.654615028392	5	3	0
39200	-731.031654014098	1	4	0
39300	-730.619454731825	1	4	2
39400	-730.234604970217	3	2	1
39500	-731.811303939599	3	3	1
39600	-727.085105669638	3	2	1
39700	-728.398442345762	3	2	0
39800	-738.96385557802	4	5	2
39900	-731.374442059536	1	4	1
40000	-736.495834389568	3	4	1
40100	-731.686723664404	3	2	0
40200	-726.744593293295	3	1	2
40300	-730.183038317326	5	1	0
40400	-734.315741136684	5	2	2
40500	-732.390229905719	3	3	1
40600	-728.373602179299	2	3	0
40700	-741.822270130527	4	2	3
40800	-731.00848468413	3	1	3
40900	-740.20171470046	3	4	2
41000	-743.891721815581	6	3	4
41100	-737.2590946594	3	2	1
41200	-732.020121187185	2	3	2
41300	-734.627919098436	3	3	3
41400	-733.81907664539	3	3	1
41500	-726.9419169009	1	2	1
41600	-725.098119587926	2	2	1
41700	-726.698521663415	1	2	1
41800	-729.240455663844	3	1	3
41900	-738.283113719081	2	5	2
42000	-722.402885782221	2	2	1
42100	-729.067551258137	1	3	0
42200	-730.687246661733	1	2	2
42300	-729.731776181507	3	3	0
42400	-728.124630050747	1	2	0
42500	-730.352288714503	3	2	0
42600	-731.947738990385	3	4	1
42700	-731.41920489528	3	1	3
42800	-736.66141573786	4	2	1
42900	-734.156180510621	1	5	1
43000	-724.704687649694	2	1	2
43100	-735.119118844221	3	3	1
43200	-733.622402187096	4	2	0
43300	-732.774905452985	4	3	1
43400	-732.759087351228	1	5	0
43500	-730.118529035096	2	3	0
43600	-725.56614986936	1	3	1
43700	-729.013218500781	3	2	1
43800	-735.68316184528	2	5	1
43900	-728.479672951553	3	2	0
44000	-730.370962247014	3	3	1
44100	-742.679548249233	4	5	1
44200	-733.881044452276	5	2	1
44300	-728.631994727703	3	2	1
44400	-744.03994995792	5	3	0
44500	-726.778551775774	2	3	0
44600	-731.506356008013	4	2	1
44700	-736.470023930164	4	3	1
44800	-737.427924685563	5	3	1
44900	-736.083125781142	3	4	0
45000	-731.577636674229	4	2	2
45100	-724.850312507764	2	3	1
45200	-726.147998722412	1	3	1
45300	-734.910089123406	2	4	1
45400	-733.334208108774	5	1	0
45500	-724.785670665753	3	1	0
45600	-725.241856753265	1	2	1
45700	-748.137309725933	6	5	2
45800	-747.954988298443	4	6	1
45900	-738.863987635836	3	3	2
46000	-729.786240176744	4	2	0
46100	-737.579101512406	3	4	1
46200	-742.368583346575	4	3	1
46300	-727.802788683309	2	1	0
46400	-737.430091655572	4	2	1
46500	-735.315309917554	4	3	2
46600	-728.299823885418	3	1	0
46700	-730.640771184509	4	2	0
46800	-731.298499543793	3	2	0
46900	-731.4923666294	2	4	1
47000	-731.465479882579	3	2	2
47100	-740.910417697323	4	4	0
47200	-736.160126463122	5	2	0
47300	-730.478849755703	2	3	1
47400	-733.192396661629	4	2	0
47500	-738.219605031635	6	2	0
47600	-735.252164054314	1	5	1
47700	-736.307364192004	3	4	1
47800	-743.602455549644	5	4	0
47900	-740.048451200331	3	5	0
48000	-726.595547345713	2	2	1
48100	-729.808659098333	2	2	0
48200	-737.70447478368	3	4	1
48300	-744.630417867809	4	4	0
48400	-731.280798925536	3	2	0
48500	-728.496215317886	1	3	0
48600	-733.464068727711	3	3	2
48700	-729.676292740652	3	3	1
48800	-730.327248259491	2	4	0
48900	-728.424666496315	2	3	0
49000	-730.479727259637	2	3	1
49100	-725.88816134843	1	1	2
49200	-723.326602242742	1	2	0
49300	-726.639912179552	1	2	0
49400	-724.580253566855	2	2	0
49500	-732.581711974535	2	4	0
49600	-730.887453630072	3	2	0
49700	-743.077384525909	7	2	1
49800	-726.164806627264	1	2	2
49900	-729.702684375143	2	1	0
50000	-728.796923186063	2	3	0
50100	-734.716936160168	5	1	1
50200	-727.787086774491	1	3	1
50300	-725.139535938804	1	2	0
50400	-739.693210881174	6	2	1
50500	-731.2821090343	4	3	1
50600	-729.3415551413	2	3	0
50700	-734.585617932554	5	2	1
50800	-743.112287905344	7	4	1
50900	-729.437081887663	2	3	0
51000	-735.221606988688	2	4	0
51100	-726.445506291177	1	2	1
51200	-728.755011917725	2	1	1
51300	-728.706814005468	1	2	1
51400	-733.394531064885	1	5	0
51500	-732.640091425055	3	1	2
51600	-731.357776778257	4	2	2
51700	-735.461501840652	3	3	0
51800	-741.63379282963	4	3	1
51900	-737.062497881126	4	2	1
52000	-743.247598983738	4	5	0
52100	-727.825232880524	1	3	0
52200	-733.10327936047	2	4	1
52300	-724.243853780006	2	2	0
52400	-741.18522358837	3	5	1
52500	-737.371946534108	3	5	0
52600	-730.951715366284	4	2	0
52700	-729.078781393579	3	2	0
52800	-732.332263099273	4	3	0
52900	-724.067794581985	1	2	1
53000	-734.36698633033	3	4	0
53100	-741.339673949156	4	5	0
53200	-728.496519901185	3	2	0
53300	-733.586751731057	2	4	0
53400	-741.821057927921	5	3	2
53500	-724.215991353953	2	2	0
53600	-734.931100804574	5	2	0
53700	-726.691451013711	3	1	0
53800	-734.150202407939	4	2	1
53900	-743.063679034101	4	5	0
54000	-739.390935510661	5	3	1
54100	-729.34371710141	3	2	0
54200	-735.741923557736	5	3	0
54300	-733.678048707468	6	1	1
54400	-733.909983663565	2	4	0
54500	-726.00842219637	2	1	0
54600	-731.533912462222	2	4	0
54700	-729.341878236895	1	4	0
54800	-724.487994434113	1	2	1
54900	-729.675016758686	3	2	0
55000	-739.288525998914	5	2	1
55100	-723.771822385401	1	1	0
55200	-727.437473444161	1	3	0
55300	-725.499113635899	1	3	0
55400	-734.977254595469	4	3	1
55500	-730.987939836341	3	3	0
55600	-723.702271503077	2	2	0
55700	-733.316714126291	4	2	0
55800	-729.695582313193	2	3	0
55900	-729.932721392466	2	2	0
56000	-741.592201959389	5	3	0
56100	-734.263543344941	4	1	0
56200	-735.226212565877	2	4	1
56300	-737.866435407236	4	4	0
56400	-726.57393641552	3	1	0
56500	-730.268514984821	4	1	2
56600	-739.95014809056	3	5	3
56700	-729.474724321765	3	1	3
56800	-734.558905418956	1	3	3
56900	-731.895515826009	4	2	1
57000	-736.980141713306	3	3	2
57100	-735.732701324555	2	5	2
57200	-723.857916486912	2	2	0
57300	-724.232211898144	2	2	0
57400	-724.747193649295	2	2	0
57500	-733.749663716212	4	1	2
57600	-731.277150818908	2	3	4
57700	-727.819558713013	3	1	1
57800	-725.968184268838	2	1	0
57900	-732.861343238273	3	3	2
58000	-729.612248540503	3	2	1
58100	-729.255960020058	1	4	1
58200	-730.20911952071	3	3	0
58300	-726.425067846989	2	3	1
58400	-742.686745717953	5	5	1
58500	-731.37570314718	3	3	1
58600	-732.265658716715	3	3	0
58700	-731.708820408795	4	2	2
58800	-727.837234274713	3	3	2
58900	-728.014794070488	1	3	0
59000	-723.747258627881	1	2	0
59100	-727.799326570792	2	3	1
59200	-731.430342689069	3	3	0
59300	-723.934977700133	1	2	0
59400	-735.551851627167	2	4	1
59500	-742.957418861987	3	5	0
59600	-723.771858386652	1	2	1
59700	-740.15036880082	5	4	1
59800	-730.452307489007	3	2	1
59900	-726.250063971241	1	3	0
60000	-735.183576973224	1	5	0
60100	-742.324321162832	6	3	1
60200	-727.705084973322	3	3	0
60300	-735.059895270006	5	3	1
60400	-729.870849488698	3	2	1
60500	-724.178146027602	2	2	0
60600	-731.756313585114	3	3	1
60700	-734.648151615912	3	4	0
60800	-738.212880870852	2	5	0
60900	-734.445084781426	3	3	2
61000	-733.605482150799	2	4	0
61100	-745.860714334541	6	4	0
61200	-733.381477549382	4	2	1
61300	-740.505149347432	5	3	0
61400	-729.143002240841	1	3	0
61500	-728.803199005318	1	4	0
61600	-736.016373443997	3	4	2
61700	-741.041342800567	5	4	1
61800	-730.428581440079	1	3	0
61900	-745.83358866123	7	2	0
62000	-728.901540732021	3	1	0
62100	-726.563292427587	3	2	1
62200	-734.41692676071	3	4	0
62300	-741.227989369102	3	6	1
62400	-731.08473270442	4	2	0
62500	-744.878265548489	3	7	1
62600	-740.545576661103	3	6	1
62700	-733.893358630753	4	2	1
62800	-727.290216486159	1	3	0
62900	-734.458282930486	4	2	3
63000	-746.380973653837	3	7	0
63100	-738.092202330501	5	3	1
63200	-733.024625090791	3	1	2
63300	-739.578782434267	5	3	1
63400	-736.512640648339	2	5	0
63500	-724.289150440868	1	1	2
63600	-730.701778651801	3	3	1
63700	-733.504198935244	3	4	3
63800	-733.450358892429	3	3	0
63900	-733.016461250814	3	3	3
64000	-722.559545603914	1	2	1
64100	-733.785095885337	3	4	0
64200	-731.240930663241	1	4	1
64300	-731.983955741567	4	3	0
64400	-729.602500738697	1	2	2
64500	-733.284108627285	3	2	3
64600	-735.940673182252	3	3	0
64700	-727.050023688351	2	1	1
64800	-736.846350665133	1	5	0
64900	-735.363794087035	3	4	1
65000	-736.38152807079	2	3	1
65100	-725.365712374477	2	2	1
65200	-734.265959601905	2	4	0
65300	-727.728254975348	1	4	1
65400	-734.836973157868	4	3	0
65500	-732.271039824637	2	4	0
65600	-729.267135580977	1	3	1
65700	-727.409943204749	3	2	1
65800	-732.492724296298	3	3	0
65900	-731.971146516187	4	3	0
66000	-736.129794766121	6	1	2
66100	-733.759085549434	3	3	0
66200	-739.731854780135	4	4	0
66300	-730.769912899095	3	2	1
66400	-736.402278273156	2	3	1
66500	-732.241169654764	1	4	0
66600	-733.954556904073	3	3	1
66700	-734.214848386329	2	5	0
66800	-732.115047307668	3	4	2
66900	-742.724636661365	4	5	1
67000	-741.926238894367	2	7	0
67100	-724.129801231787	1	1	0
67200	-733.257942863898	4	3	1
67300	-730.118186272134	4	2	1
67400	-729.43882213656	4	1	1
67500	-737.113272838122	4	3	1
67600	-726.265410455561	3	1	2
67700	-735.779510763153	4	3	3
67800	-740.569219214879	6	2	2
67900	-734.767391734831	3	4	1
68000	-724.709882094555	3	2	1
68100	-725.880454606248	1	3	0
68200	-727.262406993044	2	2	0
68300	-732.553141887081	1	5	0
68400	-737.082978678941	5	1	1
68500	-740.936971734889	5	4	1
68600	-726.522094589967	2	2	0
68700	-730.22611268523	2	4	0
68800	-740.024976744622	3	6	1
68900	-729.512757610666	3	2	1
69000	-731.907916734214	4	1	0
69100	-745.781546850026	5	3	1
69200	-730.499409673975	2	3	0
69300	-726.426635441105	4	1	1
69400	-725.302093694019	1	2	0
69500	-733.154706490404	2	4	0
69600	-742.290378877928	7	1	1
69700	-730.962097342523	3	3	0
69800	-739.749153554496	6	3	1
69900	-723.559533199547	2	1	0
70000	-742.480924931184	6	3	1
70100	-728.058671823461	4	2	0
70200	-738.706532207094	3	5	0
70300	-730.063948569861	1	4	0
70400	-734.915623845486	6	2	0
70500	-729.669577102139	2	3	1
70600	-730.074725457871	2	3	1
70700	-736.854575292939	3	4	1
70800	-737.569318539203	2	4	1
70900	-736.037827681488	3	2	2
71000	-733.718811618794	2	4	2
71100	-745.374795219105	7	2	3
71200	-734.031009154638	4	3	1
71300	-729.75695161632	2	3	0
71400	-728.384331035802	4	1	0
71500	-727.339612486794	2	1	1
71600	-738.892235185819	5	2	2
71700	-740.325034725615	4	5	0
71800	-743.261788958329	5	4	2
71900	-729.113527935935	3	2	0
72000	-725.468355093181	2	2	0
72100	-748.508226514594	5	6	1
72200	-729.988600004337	2	3	0
72300	-736.437841520016	4	4	1
72400	-728.271667330191	2	2	1
72500	-732.717347836256	3	2	0
72600	-728.494625333517	1	3	0
72700	-733.272542164915	3	3	0
72800	-737.438622717984	4	4	0
72900	-729.110579762946	1	3	1
73000	-744.145423077847	7	1	2
73100	-724.829886768592	3	2	0
73200	-733.353861160822	3	3	1
73300	-745.68837223163	3	7	1
73400	-737.155450654147	5	2	1
73500	-737.944868180199	2	5	1
73600	-731.006506378758	4	1	0
73700	-731.056938169616	3	3	0
73800	-733.401888940426	2	5	1
73900	-724.138361729251	2	2	1
74000	-735.903955632589	4	2	1
74100	-738.587774010724	4	4	1
74200	-739.605479420248	3	5	0
74300	-727.347359956307	4	1	1
74400	-732.875777700937	4	1	3
74500	-725.277308020457	2	2	0
74600	-726.335207433583	2	2	0
74700	-729.475283882562	3	3	1
74800	-730.420595740958	4	1	0
74900	-738.684302321086	4	5	1
75000	-736.165051128663	4	3	2
75100	-722.930547888878	2	1	0
75200	-730.620527141738	3	2	1
75300	-735.708674630382	5	3	0
75400	-726.341647844974	3	1	1
75500	-730.051676574682	3	3	0
75600	-732.25967961957	3	3	0
75700	-729.35820312491	3	2	0
75800	-734.408193049647	2	5	1
75900	-732.652303719949	3	3	1
76000	-736.215480064885	3	4	0
76100	-735.964223922278	2	4	0
76200	-729.497207384608	2	3	0
76300	-741.236311686313	4	4	2
76400	-737.908536417934	4	4	1
76500	-729.386587610693	3	2	2
76600	-739.410661112611	5	4	1
76700	-724.977751066156	1	3	2
76800	-727.674297219867	2	3	1
76900	-734.918222047094	4	1	1
77000	-731.224342599869	4	2	1
77100	-734.266556362723	6	1	1
77200	-726.072441210823	1	2	1
77300	-727.191833435775	2	2	0
77400	-739.872274317593	5	4	0
77500	-731.075917657728	4	1	0
77600	-733.380442138818	5	2	1
77700	-733.999679892642	4	3	0
77800	-729.853567450721	4	2	0
77900	-729.091488274104	3	1	0
78000	-731.596959714344	3	3	0
78100	-735.117567751135	4	1	2
78200	-725.745073089819	1	3	1
78300	-737.554386716691	3	5	0
78400	-732.823558709095	3	3	1
78500	-734.155970418542	1	5	0
78600	-722.521401808559	1	1	1
78700	-724.314586608894	1	1	0
78800	-736.780649640426	4	2	0
78900	-732.917613794817	2	3	1
79000	-727.900229036783	2	3	0
79100	-728.696410912332	4	1	0
79200	-735.037033069066	4	3	1
79300	-730.887908491248	3	3	0
79400	-735.439967052285	3	4	0
79500	-743.716750582989	3	6	0
79600	-732.335351303492	3	4	1
79700	-736.188533209886	4	4	0
79800	-735.965594464332	2	5	1
79900	-734.552184658029	2	5	0
80000	-748.867063098396	5	5	2
80100	-724.885249250189	1	2	0
80200	-735.247679862448	3	4	0
80300	-730.180507359794	3	2	2
80400	-730.743767775105	4	2	1
80500	-728.35355552401	2	3	2
80600	-729.712655070998	4	1	0
80700	-727.826887237185	2	2	1
80800	-741.813325869382	4	5	3
80900	-735.944716119291	1	6	0
81000	-732.607831837703	3	2	0
81100	-732.28871982274	4	2	0
81200	-733.122993954387	3	4	0
81300	-731.747047986222	2	4	1
81400	-732.331517917062	3	3	2
81500	-724.796440707634	3	1	1
81600	-736.75668575199	2	5	0
81700	-746.415134342052	2	8	1
81800	-729.499521660385	1	4	0
81900	-731.331734144348	3	3	0
82000	-736.043221867824	4	1	3
